backers,category,currency,description,goal,main_category,names,pledged,proj_details,status
3,,£,"A new music festival. Gender equality, LGBTQ friendly. A safe space and supporting smaller bands whilst showcasing larger bands.",85000,music,Pile Up Festival - The Future of Music Festivals.,220,"
					Backers: 3,
					Funding: £220 of £85,000 (,0% funded,),
					Campaign Dates: February 26th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Cancelled
27,dance|spaces,€,"Gastro&Vac, gastro al vacío para restaurantes, supermercados y particulares",10000,dance,"Gastro&Vac, Alta Cocina de Quinta Gama al Vacío",2579,"
					Backers: 27,
					Funding: €2,579 of €10,000 (,25% funded,),
					Campaign Dates: February 26th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
41,,$,Spring & Summer Tales,1100,art,Seasons Getaway Enamel Pins by Hippo & Piggi,3038,"
					Backers: 41,
					Funding: $3,038 of $1,100 (,276% funded,),
					Campaign Dates: March 27th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
153,games|tabletop games,$,More 'The Dark Eye' miniatures in heroic 28mm for gamers and collectors,1000,games,Heroes of Aventuria 2 - Siebenstreich,23290,"
					Backers: 153,
					Funding: $23,290 of $1,000 (,2329% funded,),
					Campaign Dates: April 13th -> April 27th (2020),
					Closed: Monday April 27th, 2020,
				",Closed
3,journalism|audio,€,"Every week on the You did a Thing! podcast, I will interview a guest about a recent achievement.",1200,journalism,You Did A Thing! Podcast,7,"
					Backers: 3,
					Funding: €7 of €1,200 (,0% funded,),
					Campaign Dates: April 6th -> April 27th (2020),
					Closed: Monday April 27th, 2020,
				",Closed
149,games|tabletop games,£,What do you do when your ship malfunctions and you crash land on a planet?,500,games,Stranded,3893,"
					Backers: 149,
					Funding: £3,893 of £500 (,778% funded,),
					Campaign Dates: April 6th -> April 27th (2020),
					Closed: Monday April 27th, 2020,
				",Closed
16,games|mobile games,£,"A free to play Battle Royale set in a huge, enchanted Wizarding world. Become a Wizard King, Queen Witch or take a much darker path...",12000,games,Wizarding Battle Royale (Android & iOS),1186,"
					Backers: 16,
					Funding: £1,186 of £12,000 (,9% funded,),
					Campaign Dates: March 28th -> April 27th (2020),
					Closed: Monday April 27th, 2020,
				",Closed
6,comics|comic books,$,The story of a boy and his journey through an afterlife he doesn't belong in,1200,comics,SubPurgatory,33,"
					Backers: 6,
					Funding: $33 of $1,200 (,2% funded,),
					Campaign Dates: February 27th -> April 27th (2020),
					Closed: Monday April 27th, 2020,
				",Closed
58,art|digital art,$,Pins for those who love herpetology and the creatures it includes!,1600,art,Reptile Pins,1460,"
					Backers: 58,
					Funding: $1,460 of $1,600 (,91% funded,),
					Campaign Dates: February 27th -> April 27th (2020),
					Closed: Monday April 27th, 2020,
				",Closed
1,technology|diy electronics,€,"A new way of  understand the motorcycle industry. 
A motorcycle wich is fun to drive, affordable to all and with racing spirit.",5100,technology,OTTOM Motorcycles,1,"
					Backers: 1,
					Funding: €1 of €5,100 (,0% funded,),
					Campaign Dates: February 27th -> April 27th (2020),
					Closed: Monday April 27th, 2020,
				",Closed
30,film & video|family,£,"Aim of this project: To build a Bench and a Statue to celebrate the Wombles, placing them in their rightful home on Wimbledon Common",38900,film & video,Celebrating The Wombles!,9534,"
					Backers: 30,
					Funding: £9,534 of £38,900 (,24% funded,),
					Campaign Dates: February 27th -> April 27th (2020),
					Closed: Monday April 27th, 2020,
				",Cancelled
2,,£,Wooden magnetic blocks,8000,crafts,BLOX,81,"
					Backers: 2,
					Funding: £81 of £8,000 (,1% funded,),
					Campaign Dates: March 28th -> April 27th (2020),
					Closed: Monday April 27th, 2020,
				",Cancelled
4,,$,Joining SAG/AFTRA to become an actor. I was born and raised in St. Louis and you dont see many actors arise from the Midwest anymore.,3000,film & video,George Grayson - SAG-AFTRA Membership,141,"
					Backers: 4,
					Funding: $141 of $3,000 (,4% funded,),
					Campaign Dates: February 27th -> April 27th (2020),
					Closed: Monday April 27th, 2020,
				",Cancelled
902,games|playing cards,$,"1805 ""Joan of Arc"" Deck 1 of 6 in a series - Precisely Hand-Recreated & Printed by USPCC - Limited Edition - 1,000 with Numbered Seals",1805,games,Cotta's Almanac #1 Transformation Playing Cards Reproduction,26455,"
					Backers: 902,
					Funding: $26,455 of $1,805 (,1465% funded,),
					Campaign Dates: March 26th -> April 27th (2020),
					Closed: Monday April 27th, 2020,
				",Closed
4,film & video|webseries,$,Exercises For Parkinson's offers a collection of workout videos that are designed for people at any stage of Parkinson's Disease.,5000,film & video,Exercises For Parkinson's,86,"
					Backers: 4,
					Funding: $86 of $5,000 (,1% funded,),
					Campaign Dates: March 28th -> April 27th (2020),
					Closed: Monday April 27th, 2020,
				",Closed
4,film & video|documentary,$,We are creating a collection of 'living history' documentaries with our World War II Veterans (approx 30 minutes each Veteran),38500,film & video,World War II Veteran 'Living History' Interviews,151,"
					Backers: 4,
					Funding: $151 of $38,500 (,0% funded,),
					Campaign Dates: February 27th -> April 27th (2020),
					Closed: Monday April 27th, 2020,
				",Cancelled
3,dance|spaces,$,"A space for youth to explore, create, and grow through movement and self expression.",10000,dance,Improving Youth Accessibility to Dance,22,"
					Backers: 3,
					Funding: $22 of $10,000 (,0% funded,),
					Campaign Dates: February 27th -> April 27th (2020),
					Closed: Monday April 27th, 2020,
				",Closed
192,music|world music,$,Appetite for Tradition - the album you likely weren't expecting from The Langer's Ball,4200,music,Appetite for Tradition,8095,"
					Backers: 192,
					Funding: $8,095 of $4,200 (,192% funded,),
					Campaign Dates: March 12th -> April 27th (2020),
					Closed: Monday April 27th, 2020,
				",Closed
80,games|playing cards,$,"Interlocking clear cases to hang and display your card collection in any design. Decks of cards, baseball, Pokemon, Magik, and more!",23425,games,"Finally, display your collectable playing card collection!",5275,"
					Backers: 80,
					Funding: $5,275 of $23,425 (,22% funded,),
					Campaign Dates: March 27th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
1,fashion|apparel,€,Das sind fair und nachhaltig produzierte Klamotten. Dafür stehen wir!,63000,fashion,TYORK / fair und nachhaltig produzierte Klamotten.,1,"
					Backers: 1,
					Funding: €1 of €63,000 (,0% funded,),
					Campaign Dates: March 12th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Cancelled
3095,technology|gadgets,,The Ultimate Everyday Ultrasonic Cleaner,,technology,Ultrasona: Ultrasonic Cleaning in the Palm of Your Hand,,"
					Backers: 3095,
					Funding: HK$2,632,122 of HK$39,000 (,6749% funded,),
					Campaign Dates: February 19th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
45,comics|comic books,$,It's a comic book crossover event! Superheros and martial arts warriors! The League of Champions and the Reiki Warriors together!,750,comics,A She-Bat Crossover Event: The Reiki and Champions Together!,2136,"
					Backers: 45,
					Funding: $2,136 of $750 (,284% funded,),
					Campaign Dates: March 25th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
